name,country,average,strike_rate,boundary_per_ball,boundary_index,not_out_pct,duck_index,RwoB_index,big_match_index,prelim_metric,prelim_rank
SN Netravalkar,USA,8.5,97.14,0.057,0.286,0.429,0.0,3.429,0.0,8.257,Poor
Saqib Zulfiqar,NED,8.5,79.06,0.023,0.25,0.0,0.0,7.5,0.0,6.72,Poor
M Theekshana,SL,3.77,70.83,0.062,0.188,0.438,0.25,1.125,0.0,2.67,Poor
W Viraliliu,VAN,8.5,130.76,0.192,0.714,0.429,0.0,1.429,0.0,11.115,Poor
OR Willis,Caym,5.66,45.94,0.014,0.167,0.0,0.0,4.667,0.0,2.6,Poor
RA Abolarin,NGA,16.5,110.0,0.1,0.6,0.6,0.0,3.8,0.0,18.15,Poor
MJ Ansell,IOM,5.5,71.73,0.065,0.429,0.143,0.143,2.714,0.0,3.945,Poor
ML Bojang,GAMBI,5.5,97.05,0.088,0.5,0.0,0.167,3.167,0.0,5.338,Poor
R Coker,SLE,6.6,52.38,0.063,0.667,0.167,0.167,2.833,0.0,3.457,Poor
J Evans,ISR,8.25,106.45,0.129,1.0,0.0,0.25,4.25,0.0,8.782,Poor
MF Maharoof,SL,8.25,76.74,0.023,0.2,0.2,0.2,5.4,0.0,6.331,Poor
Mujeeb Ur Rahman,AFG,6.6,94.28,0.143,0.417,0.583,0.167,0.917,0.0,6.222,Poor
Mustapha Yusuf,NGA,16.5,97.05,0.088,0.75,0.5,0.25,5.25,0.0,16.013,Poor
L Ngidi,SA,6.6,78.57,0.071,0.273,0.545,0.182,1.909,0.0,5.186,Poor
I Pandey,NEP,8.25,66.0,0.1,1.25,0.0,0.0,3.25,0.0,5.445,Poor
P Pustoslemsek,SVN,8.25,62.26,0.057,0.75,0.0,0.0,4.75,0.0,5.136,Poor
S Ramakrishnan,CZK-R,8.25,70.21,0.021,0.25,0.0,0.0,7.25,0.0,5.792,Poor
Simandeep Singh,HKG,6.6,103.12,0.062,0.286,0.286,0.0,3.571,0.0,6.806,Poor
AA Westphal,Mex,6.6,82.5,0.075,0.6,0.0,0.0,4.2,0.0,5.445,Poor
S Williams,SLE,16.5,78.57,0.071,0.429,0.714,0.0,3.0,0.0,12.964,Poor
WD Balaji Rao,CAN,10.66,106.66,0.1,0.75,0.25,0.25,4.0,0.0,11.37,Poor
TA Boult,NZ,6.4,76.19,0.048,0.167,0.583,0.083,2.0,0.0,4.876,Poor
A Djorovic,SRB,10.66,52.45,0.066,0.667,0.5,0.0,2.667,0.0,5.591,Poor
Fareed Ahmad,AFG,32.0,96.96,0.152,1.25,0.75,0.0,3.0,0.0,31.027,Poor
K Ghalley,BHU,16.0,78.04,0.049,0.5,0.5,0.25,6.0,0.0,12.486,Poor
S Hongsi,THAI,16.0,110.34,0.138,0.8,0.6,0.2,2.8,0.0,17.654,Poor
GA Lamb,ZIM,16.0,59.25,0.019,0.25,0.5,0.25,7.0,0.0,9.48,Poor
A Limdawala,MWI,8.0,54.23,0.017,0.2,0.2,0.2,5.6,0.0,4.338,Poor
JD Newton,CRT,8.0,62.74,0.059,0.75,0.0,0.5,4.5,0.0,5.019,Poor
GH O'Brien,BMUDA,8.0,84.21,0.079,0.5,0.333,0.167,2.667,0.0,6.737,Poor
SNJ O'Keefe,AUS,6.4,123.07,0.192,1.0,0.0,0.0,2.0,0.0,7.876,Poor
Pyae Phyo Wai,MYAN,8.0,54.23,0.034,0.5,0.0,0.25,5.5,0.0,4.338,Poor
TW Samuels,Blz,8.0,74.41,0.047,0.4,0.2,0.2,4.8,0.0,5.953,Poor
J West,GIBR,8.0,60.37,0.038,0.5,0.0,0.0,6.0,0.0,4.83,Poor
JJ Wright,SWA,8.0,96.96,0.061,0.4,0.2,0.4,4.4,0.0,7.757,Poor
HN Ya France,NAM,4.57,86.48,0.081,0.3,0.3,0.2,1.8,0.0,3.952,Poor
R Abdulkareem,NGA,10.33,77.5,0.1,0.8,0.4,0.2,3.0,0.0,8.006,Poor
A Ahmadhel,BUL,5.16,70.45,0.068,0.429,0.143,0.143,2.714,0.0,3.635,Poor
C Bogdanos,GRC,10.33,67.39,0.043,0.5,0.25,0.0,5.75,0.0,6.961,Poor
JW Dernbach,ENG/ITA,5.16,96.87,0.125,0.4,0.4,0.1,1.5,0.0,4.998,Poor
H Osinde,CAN,7.75,91.17,0.088,0.5,0.333,0.0,2.5,0.0,7.066,Poor
J Pakhiaokajee,THAI,7.75,75.6,0.073,0.5,0.333,0.167,2.833,0.0,5.859,Poor
WA Peatfield,GUE,15.5,106.89,0.138,0.571,0.714,0.143,2.143,0.0,16.568,Poor
CAK Rajitha,SL,10.33,58.49,0.038,0.25,0.625,0.125,2.875,0.0,6.042,Poor
Usman Qadir,PAK,7.75,114.81,0.111,0.375,0.5,0.25,2.125,0.0,8.898,Poor
W Dlamini,SWZ,4.28,88.23,0.118,0.571,0.0,0.0,2.0,0.0,3.776,Poor
NH Ekanayake,Bhm,10.0,69.76,0.093,1.0,0.25,0.0,3.0,0.0,6.976,Poor
E Ernest,SLE,6.0,60.0,0.04,0.286,0.286,0.429,3.143,0.0,3.6,Poor
Hamed Khan,HKG,7.5,69.76,0.047,0.4,0.2,0.2,4.4,0.0,5.232,Poor
WW Hinds,WI,7.5,73.17,0.073,0.6,0.2,0.2,3.6,0.0,5.488,Poor
H Isorena,PHI,7.5,63.82,0.064,0.75,0.0,0.25,4.5,0.0,4.786,Poor
A Krishna,SGP,15.0,93.75,0.094,0.429,0.714,0.143,2.571,0.0,14.062,Poor
CJ Langford,IOM,10.0,93.75,0.062,0.4,0.4,0.0,4.4,0.0,9.375,Poor
Shahid Arshad,SVN,7.5,73.17,0.049,0.5,0.0,0.25,5.5,0.0,5.488,Poor
Yusuf Bhoola,PNM,7.5,68.18,0.091,0.8,0.2,0.0,2.8,0.0,5.114,Poor
L Zulu,SWA/SWZ,6.0,53.57,0.036,0.4,0.0,0.2,4.4,0.0,3.214,Poor
MM Baig,QAT,14.5,111.53,0.077,0.5,0.5,0.0,4.75,0.0,16.172,Poor
FE Carava,MOZ,5.8,46.03,0.016,0.2,0.0,0.0,5.0,0.0,2.67,Poor
Elias Hasan,EST,9.66,100.0,0.138,1.0,0.25,0.0,2.75,0.0,9.66,Poor
JH Kiani,PHI,9.66,70.73,0.049,0.5,0.25,0.0,5.25,0.0,6.833,Poor
Muhammad Wafiq,MAL,4.14,72.5,0.075,0.3,0.3,0.3,1.3,0.0,3.001,Poor
K Piet,BOT,5.8,74.35,0.026,0.111,0.444,0.111,2.778,0.0,4.312,Poor
D Ravu,PNG,4.83,96.66,0.167,0.556,0.333,0.111,1.0,0.0,4.669,Poor
M Simmons,BMUDA,9.66,103.57,0.071,0.5,0.25,0.5,4.75,0.0,10.005,Poor
Ahsan Malik,NED,9.33,93.33,0.067,0.25,0.625,0.125,2.25,0.0,8.708,Poor
KK Ahuja,Mex,4.0,56.0,0.04,0.286,0.0,0.143,2.571,0.0,2.24,Poor
JW Batinibulu,Fiji,7.0,60.86,0.022,0.2,0.2,0.0,4.4,0.0,4.26,Poor
R Goodwin,PHI,4.0,50.9,0.018,0.111,0.222,0.444,2.667,0.0,2.036,Poor
S Kamate,Mali,5.6,45.16,0.048,0.6,0.0,0.4,3.2,0.0,2.529,Poor
A Nehra,IND,5.6,71.79,0.077,0.6,0.0,0.6,2.4,0.0,4.02,Poor
R Pillai,GER,7.0,63.63,0.023,0.2,0.2,0.2,4.8,0.0,4.454,Poor
Vinod Kumar,ESP,9.33,82.35,0.088,0.75,0.25,0.0,4.0,0.0,7.683,Poor
Wang Liuyang,CHN,7.0,54.9,0.039,0.5,0.0,0.25,5.0,0.0,3.843,Poor
TS Waqavakatoga,Fiji,7.0,90.32,0.065,0.4,0.2,0.2,3.6,0.0,6.322,Poor
TD Chaoana,LES,5.4,62.79,0.047,0.286,0.286,0.286,2.714,0.0,3.391,Poor
BJ Davidson,SRB,6.75,58.69,0.087,1.0,0.0,0.25,2.75,0.0,3.962,Poor
LE Dlamini,SWZ,9.0,72.97,0.081,0.75,0.25,0.0,3.25,0.0,6.567,Poor
B Jerkovic,CRT,27.0,46.55,0.017,0.25,0.75,0.0,5.75,0.0,12.568,Poor
A Nathwani,Aut,9.0,57.44,0.021,0.091,0.727,0.182,2.091,0.0,5.17,Poor
OE Olaleye,NGA,5.4,77.14,0.143,1.0,0.0,0.2,1.4,0.0,4.166,Poor
E Otieno,KENYA,3.85,45.76,0.017,0.077,0.462,0.154,1.615,0.0,1.762,Poor
Ousman Bah,GAMBI,4.5,40.9,0.0,0.0,0.143,0.286,3.857,0.0,1.84,Poor
K Senamontree,THAI,3.85,57.44,0.0,0.0,0.125,0.125,3.375,0.0,2.211,Poor
S Sengupta,CZK-R,9.0,108.0,0.12,0.75,0.25,0.0,3.75,0.0,9.72,Poor
L Shafeeg,MDV,5.4,90.0,0.1,0.429,0.286,0.571,1.857,0.0,4.86,Poor
Shapoor Zadran,AFG,3.85,41.53,0.046,0.231,0.462,0.231,0.692,0.0,1.599,Poor
Shoaib Qureshi,Fin,6.75,79.41,0.059,0.5,0.0,0.25,4.75,0.0,5.36,Poor
C Bah,SLE,5.2,104.0,0.12,0.6,0.0,0.2,2.0,0.0,5.408,Poor
P Florin,ROM,8.66,83.87,0.065,0.25,0.625,0.125,2.25,0.0,7.263,Poor
M Jobarteh,GAMBI,5.2,92.85,0.107,0.5,0.167,0.167,2.0,0.0,4.828,Poor
TM Macalou,Mali,6.5,44.06,0.068,0.8,0.2,0.2,2.0,0.0,2.864,Poor
MV Matsau,LES,5.2,74.28,0.057,0.222,0.444,0.444,2.0,0.0,3.863,Poor
TJ Murtagh,IRE,13.0,104.0,0.04,0.2,0.6,0.0,4.0,0.0,13.52,Poor
Swann Htet Ko Ko,MYAN,6.5,41.93,0.0,0.0,0.0,0.25,6.5,0.0,2.725,Poor
Alam Nakash,SKOR,6.25,89.28,0.071,0.5,0.0,0.5,3.75,0.0,5.58,Poor
RA Bhatti,CAN,8.33,67.56,0.027,0.25,0.25,0.25,5.25,0.0,5.628,Poor
Bilal Khan,OMA,3.12,58.13,0.023,0.053,0.579,0.316,1.105,0.0,1.814,Poor
CRD Fernando,SL,5.0,92.59,0.148,0.571,0.286,0.286,1.286,0.0,4.63,Poor
M Fontaine,HUN,6.25,83.33,0.033,0.167,0.333,0.0,3.5,0.0,5.208,Poor
Hassan Mehmood,SWE,12.5,80.64,0.032,0.2,0.6,0.0,3.8,0.0,10.08,Poor
A Nao,PNG,25.0,100.0,0.12,0.6,0.8,0.2,2.6,0.0,25.0,Poor
S Ravoka,Fiji,6.25,60.97,0.0,0.0,0.333,0.0,4.167,0.0,3.811,Poor
Raza-ur-Rehman,CAN,6.25,86.2,0.103,0.75,0.0,0.0,3.25,0.0,5.388,Poor
A Srivastav,Chile,6.25,67.56,0.054,0.5,0.0,0.5,4.25,0.0,4.222,Poor
S Bogdos,GRC,6.0,40.67,0.017,0.25,0.0,0.0,5.0,0.0,2.44,Poor
LA Collado,GIBR,12.0,58.53,0.024,0.2,0.6,0.2,4.0,0.0,7.024,Poor
Dawood Ahmadzai,Fran,6.0,41.37,0.017,0.143,0.429,0.143,2.857,0.0,2.482,Poor
Ibrahim Jabarkhel,Fran,12.0,85.71,0.036,0.167,0.667,0.167,3.0,0.0,10.285,Poor
Jagjit Singh,Peru,6.0,80.0,0.033,0.25,0.0,0.0,5.0,0.0,4.8,Poor
YYM Jakda,LES,2.18,96.0,0.12,0.273,0.0,0.545,0.727,0.0,2.093,Poor
Mohammad Hasnain,PAK,24.0,92.3,0.115,0.273,0.909,0.0,0.909,0.0,22.152,Poor
Mustapha Suwareh,GAMBI,3.42,54.54,0.068,0.429,0.0,0.143,1.714,0.0,1.865,Poor
Ngawang Thinley,BHU,8.0,77.41,0.065,0.4,0.4,0.0,3.2,0.0,6.193,Poor
B Regmi,NEP,3.42,42.85,0.036,0.182,0.364,0.091,1.455,0.0,1.465,Poor
T Rossi,Arg,3.0,58.53,0.024,0.111,0.111,0.222,2.222,0.0,1.756,Poor
Shoaib Khan,GER,6.0,75.0,0.062,0.4,0.2,0.2,3.2,0.0,4.5,Poor
C Sudarsanan,MLT,8.0,61.53,0.026,0.167,0.5,0.0,3.0,0.0,4.922,Poor
UNGB Thenannahelage,CZK-R,6.0,80.0,0.0,0.0,0.2,0.2,4.8,0.0,4.8,Poor
SM Warnakulasuriya,Fran,8.0,96.0,0.04,0.25,0.25,0.25,5.0,0.0,7.68,Poor
DL Brangman,BMUDA,11.5,92.0,0.12,0.75,0.5,0.5,2.25,0.0,10.58,Poor
SDJJ Dima,MOZ,3.28,41.07,0.0,0.0,0.125,0.25,2.875,0.0,1.347,Poor
BM Scholtz,NAM,11.5,58.97,0.026,0.1,0.8,0.2,1.9,0.0,6.782,Poor
Shafiul Islam,BAN,4.6,69.69,0.061,0.333,0.167,0.167,2.167,0.0,3.206,Poor
Abdur Rehman,PAK,11.0,75.86,0.0,0.0,0.6,0.0,4.4,0.0,8.345,Poor
Akhil Arjunan,Fin,7.33,55.0,0.0,0.0,0.25,0.5,5.5,0.0,4.031,Poor
D Marks,MLT,22.0,78.57,0.0,0.0,0.75,0.0,5.5,0.0,17.285,Poor
EB Ringera,KENYA,3.14,59.45,0.0,0.0,0.125,0.0,2.75,0.0,1.867,Poor
H Ssenyondo,UGA,4.4,50.0,0.0,0.0,0.615,0.154,1.692,0.0,2.2,Poor
N Chejay,BHU,5.25,48.83,0.047,0.4,0.2,0.4,2.6,0.0,2.564,Poor
MR Gillespie,NZ,10.5,72.41,0.0,0.0,0.667,0.0,3.5,0.0,7.603,Poor
E Hasahya,UGA,4.2,75.0,0.107,0.6,0.0,0.0,1.8,0.0,3.15,Poor
Mohammad Sami,PAK,21.0,70.0,0.067,0.5,0.75,0.0,3.25,0.0,14.7,Poor
SJS Smith,SCOT,7.0,52.5,0.025,0.25,0.25,0.25,4.25,0.0,3.675,Poor
DW Steyn,SA,3.5,80.76,0.077,0.167,0.5,0.167,1.083,0.0,2.827,Poor
Akbar Khan,HKG,5.0,60.6,0.0,0.0,0.0,0.0,5.0,0.0,3.03,Poor
MS Graham,Bhm,4.0,52.63,0.026,0.167,0.167,0.0,2.667,0.0,2.105,Poor
Z Groenewald,NAM,6.66,57.14,0.0,0.0,0.25,0.0,5.0,0.0,3.806,Poor
FJ Mpegna,CAM,5.0,51.28,0.077,0.429,0.429,0.143,0.857,0.0,2.564,Poor
Rubel Hossain,BAN,4.0,55.55,0.028,0.067,0.667,0.267,1.067,0.0,2.222,Poor
LI Salomone,MOZ,6.66,50.0,0.05,0.5,0.25,0.0,3.0,0.0,3.33,Poor
Abubacarr Kuyateh,GAMBI,3.16,51.35,0.081,0.5,0.0,0.5,1.167,0.0,1.623,Poor
CJ Dala,SA,19.0,67.85,0.036,0.25,0.75,0.0,3.75,0.0,12.891,Poor
Danish Jasnaik,BHR,4.75,73.07,0.038,0.2,0.2,0.0,3.0,0.0,3.471,Poor
Mohamed Coulibaly,Mali,3.16,45.23,0.024,0.167,0.0,0.0,2.5,0.0,1.429,Poor
B Muzarabani,ZIM,3.8,50.0,0.079,0.214,0.643,0.143,0.5,0.0,1.9,Poor
Taher Muhammad,SVN,4.75,57.57,0.03,0.25,0.0,0.0,3.75,0.0,2.735,Poor
Y Saranonnakkun,THAI,3.16,52.77,0.056,0.286,0.143,0.429,1.571,0.0,1.668,Poor
Andre Jarju,GAMBI,3.6,34.61,0.019,0.167,0.167,0.333,2.333,0.0,1.246,Poor
T Brown,Bhm,4.5,31.57,0.0,0.0,0.0,0.25,4.5,0.0,1.421,Poor
SS Cottrell,WI,4.5,62.06,0.069,0.2,0.6,0.1,1.0,0.0,2.793,Poor
E Haven,Bhm,3.6,25.0,0.0,0.0,0.167,0.167,3.0,0.0,0.9,Poor
Manoj Adhikari,BHU,18.0,40.9,0.0,0.0,0.75,0.0,4.5,0.0,7.362,Poor
Awais Malik,QAT,2.42,62.96,0.037,0.143,0.0,0.429,1.857,0.0,1.524,Poor
D Bishoo,WI,8.5,58.62,0.069,0.5,0.5,0.25,2.25,0.0,4.983,Poor
R Davson,Bhm,4.25,53.12,0.0,0.0,0.2,0.0,3.4,0.0,2.258,Poor
Khurram Shahzad,QAT,4.25,58.62,0.069,0.4,0.2,0.0,1.8,0.0,2.491,Poor
S Kizilkaya,TKY,4.25,60.71,0.107,0.75,0.0,0.25,1.25,0.0,2.58,Poor
Saud Munir,DEN,17.0,50.0,0.0,0.0,0.8,0.2,3.4,0.0,8.5,Poor
Thuya Aung,MYAN,4.25,35.41,0.021,0.25,0.0,0.25,3.25,0.0,1.505,Poor
Abdullah Sheikh,NOR,5.33,64.0,0.04,0.25,0.25,0.0,3.0,0.0,3.411,Poor
IKO Aboagye,Ghana,4.0,43.24,0.0,0.0,0.0,0.25,4.0,0.0,1.73,Poor
J Butler,IOM,5.33,57.14,0.0,0.0,0.4,0.0,3.2,0.0,3.046,Poor
M Fru,CAM,4.0,51.61,0.032,0.25,0.0,0.25,3.0,0.0,2.064,Poor
Jai Sinh,SUI,4.0,61.53,0.038,0.25,0.0,0.25,3.0,0.0,2.461,Poor
AB Mengoumou,CAM,3.2,33.33,0.0,0.0,0.167,0.333,2.667,0.0,1.067,Poor
A Nortje,SA,2.66,47.05,0.029,0.091,0.455,0.182,1.091,0.0,1.252,Poor
Shamsullah Ehsan,TKY,4.0,42.1,0.0,0.0,0.0,0.25,4.0,0.0,1.684,Poor
P Campbell,GAMBI,5.0,46.87,0.031,0.2,0.4,0.4,2.2,0.0,2.344,Poor
KR Ebanks,Caym,3.75,55.55,0.037,0.25,0.0,0.25,2.75,0.0,2.083,Poor
J Grzinic,CRT,7.5,37.5,0.025,0.25,0.5,0.5,2.75,0.0,2.812,Poor
AC Kose,TKY,3.75,45.45,0.091,0.75,0.0,0.75,0.75,0.0,1.704,Poor
E Kubwimana,RWN,1.87,48.38,0.0,0.0,0.273,0.364,1.364,0.0,0.905,Poor
P Kumbhare,JPN,3.75,57.69,0.0,0.0,0.5,0.25,1.875,0.0,2.163,Poor
ME Leoela,LES,7.5,46.87,0.0,0.0,0.667,0.167,2.5,0.0,3.515,Poor
R Rampaul,WI,7.5,51.72,0.0,0.0,0.714,0.0,2.143,0.0,3.879,Poor
Rizwan Mangera,PNM,5.0,40.54,0.054,0.5,0.25,0.0,1.75,0.0,2.027,Poor
AO Suji,KENYA,5.0,51.72,0.0,0.0,0.4,0.0,3.0,0.0,2.586,Poor
G Dutta,Mex,2.33,50.0,0.036,0.167,0.0,0.5,1.667,0.0,1.165,Poor
I Ntirenganya,RWN,2.33,37.83,0.0,0.0,0.571,0.214,1.0,0.0,0.881,Poor
VD Philander,SA,3.5,50.0,0.0,0.0,0.0,0.0,3.5,0.0,1.75,Poor
Saqlain Haider,UAE,3.5,40.0,0.0,0.0,0.2,0.0,2.8,0.0,1.4,Poor
SP Gauchan,NEP,4.33,30.23,0.0,0.0,0.4,0.4,2.6,0.0,1.309,Poor
H Lin Oo,MYAN,13.0,43.33,0.0,0.0,0.75,0.25,3.25,0.0,5.633,Poor
KK Lin Thu,MYAN,3.25,32.5,0.025,0.25,0.0,0.5,2.25,0.0,1.056,Poor
AL Stephen,VAN,3.25,40.62,0.0,0.0,0.2,0.2,2.6,0.0,1.32,Poor
F Clarke,IOM,4.0,41.37,0.034,0.2,0.4,0.4,1.2,0.0,1.655,Poor
MS Diawara,Mali,2.4,37.5,0.0,0.0,0.0,0.4,2.4,0.0,0.9,Poor
H Helva,TKY,3.0,48.0,0.08,0.5,0.0,0.5,1.0,0.0,1.44,Poor
SR Rocket,SEY,2.4,46.15,0.038,0.167,0.167,0.333,1.333,0.0,1.108,Poor
Apon Mustafizur,SRB,2.75,29.72,0.054,0.5,0.0,0.75,0.75,0.0,0.817,Poor
W Uisuk,THAI,2.75,27.5,0.025,0.25,0.0,0.0,1.75,0.0,0.756,Poor
Pavandeep Singh,MAL,5.0,38.46,0.0,0.0,0.8,0.1,1.0,0.0,1.923,Poor
A Magdalenic,CRT,1.8,25.71,0.029,0.2,0.0,0.4,1.0,0.0,0.463,Poor
A Maheshwari,CRT,1.8,36.0,0.0,0.0,0.0,0.4,1.8,0.0,0.648,Poor
T Shamsi,SA,1.8,34.61,0.0,0.0,0.615,0.385,0.692,0.0,0.623,Poor
AR Balla,CAM,1.14,23.52,0.0,0.0,0.125,0.375,1.0,0.0,0.268,Poor
Xie Kunkun,CHN,2.0,22.22,0.0,0.0,0.0,0.25,2.0,0.0,0.444,Poor
P Bhart,NOR,2.5,20.0,0.0,0.0,0.5,0.25,1.25,0.0,0.5,Poor
Khin Aye,MYAN,0.75,10.34,0.0,0.0,0.0,0.5,0.75,0.0,0.078,Poor
