name,country,average,strike_rate,boundary_per_ball,boundary_index,not_out_pct,duck_index,RwoB_index,big_match_index,prelim_metric,prelim_rank
RM Dorji,BHU,7.0,62.02,0.063,0.714,0.0,0.143,3.0,0.0,4.341,Poor
Jordan O'Brien,Fin,8.16,74.24,0.076,0.833,0.0,0.167,4.167,0.0,6.058,Poor
Jubaid Ahamed,Fran,9.8,106.52,0.087,0.5,0.375,0.125,3.625,0.0,10.439,Poor
A Khan,DEN/ENG,7.0,90.74,0.056,0.429,0.0,0.0,5.0,0.0,6.352,Poor
HG Kuhn,SA,12.25,116.66,0.119,0.833,0.333,0.0,4.167,0.0,14.291,Poor
J Marples,GIBR,9.8,80.32,0.049,0.375,0.375,0.0,4.625,0.0,7.871,Poor
I Master,BOT,9.8,96.07,0.059,0.5,0.167,0.167,6.167,0.0,9.415,Poor
SR Mohan,SEY,12.25,73.13,0.06,0.571,0.429,0.286,4.714,0.0,8.958,Poor
Y Naing Tun,MYAN,12.25,61.25,0.075,1.5,0.0,0.0,5.75,0.0,7.503,Poor
Naseem Khan,CRT,9.8,87.5,0.125,1.4,0.0,0.0,3.4,0.0,8.575,Poor
E Packard,GIBR,7.0,67.12,0.055,0.571,0.0,0.0,4.429,0.0,4.698,Poor
CP Turkich,CRT,9.8,48.51,0.02,0.4,0.0,0.2,8.2,0.0,4.754,Poor
K Weeraratne,SL,16.33,108.88,0.111,1.0,0.4,0.0,5.4,0.0,17.78,Poor
AN Aminou,CAM,6.85,114.28,0.119,0.625,0.125,0.375,2.5,0.0,7.828,Poor
Ghulam Ahmadi,GER,48.0,114.28,0.095,0.308,0.923,0.0,2.462,0.0,54.854,Poor
Hashmatullah Shahidi,AFG,24.0,87.27,0.091,1.25,0.5,0.0,7.0,0.0,20.945,Poor
Maqsood Ahmad,Belg,12.0,97.95,0.122,1.2,0.2,0.0,4.8,0.0,11.754,Poor
A Modi,SGP,9.6,61.53,0.013,0.167,0.167,0.167,7.333,0.0,5.907,Poor
Shaheen Shah Afridi,PAK,8.0,120.0,0.15,0.6,0.4,0.1,2.0,0.0,9.6,Poor
A Zampa,AUS,6.0,82.75,0.069,0.25,0.5,0.188,2.0,0.0,4.965,Poor
V Zanko,CRT,9.6,42.85,0.054,1.2,0.0,0.2,4.8,0.0,4.114,Poor
C Zhuwao,ZIM,6.85,72.72,0.121,1.143,0.0,0.571,2.0,0.0,4.981,Poor
RDB Ahir,PNM,15.66,138.23,0.147,1.25,0.25,0.25,5.75,0.0,21.647,Poor
H Ivanov,BUL,6.71,92.15,0.078,0.5,0.125,0.25,3.625,0.0,6.183,Poor
AB Kamara,SLE,9.4,67.14,0.029,0.286,0.286,0.143,5.571,0.0,6.311,Poor
N Krishna,SEY,5.87,69.11,0.088,0.667,0.111,0.111,2.556,0.0,4.057,Poor
D Uwimana,RWN,23.5,68.11,0.072,1.0,0.6,0.0,5.4,0.0,16.006,Poor
D Weston,GER,7.83,87.03,0.111,1.0,0.0,0.333,3.5,0.0,6.814,Poor
Zahid Khan,SLE,5.87,77.04,0.082,0.625,0.0,0.125,3.125,0.0,4.522,Poor
Ali Zaheer,KUW,15.33,83.63,0.073,0.8,0.4,0.0,6.0,0.0,12.82,Poor
CA Brown,Blz,11.5,75.4,0.098,1.5,0.0,0.0,5.5,0.0,8.671,Poor
KM Dabengwa,ZIM,11.5,115.0,0.15,0.857,0.429,0.0,2.571,0.0,13.225,Poor
K Gupta,Chile,15.33,71.87,0.016,0.25,0.25,0.25,10.5,0.0,11.018,Poor
JW Hastings,AUS,11.5,124.32,0.108,0.667,0.333,0.0,4.667,0.0,14.297,Poor
Kuldeep Yadav,IND,11.5,77.96,0.034,0.286,0.429,0.286,5.429,0.0,8.965,Poor
