name,country,average,strike_rate,boundary_per_ball,boundary_index,not_out_pct,RwoB_index,big_match_index,prelim_metric,prelim_rank,kmeans_role,rbml_score,pca_score
EB Ringera,KENYA,3.14,59.45,0.0,0.0,0.125,2.75,0.0,1.867,Poor,SB,0.49,-0.149
Shahzeb Choudhry,SWE,7.33,68.75,0.062,0.5,0.25,3.5,0.0,5.039,Poor,SB,0.506,-0.098
H Ssenyondo,UGA,4.4,50.0,0.0,0.0,0.615,1.692,0.0,2.2,Poor,SB,0.499,-0.119
N Chejay,BHU,5.25,48.83,0.047,0.4,0.2,2.6,0.0,2.564,Poor,SB,0.506,-0.095
MR Gillespie,NZ,10.5,72.41,0.0,0.0,0.667,3.5,0.0,7.603,Poor,FL,0.48,-0.062
E Hasahya,UGA,4.2,75.0,0.107,0.6,0.0,1.8,0.0,3.15,Poor,SB,0.489,-0.152
Mohammad Sami,PAK,21.0,70.0,0.067,0.5,0.75,3.25,0.0,14.7,Poor,F,0.53,0.077
Shahid Mahmood,BHR,21.0,80.76,0.077,0.5,0.75,2.25,0.0,16.96,Poor,LCB,0.495,0.037
SJS Smith,SCOT,7.0,52.5,0.025,0.25,0.25,4.25,0.0,3.675,Poor,FL,0.478,-0.062
DW Steyn,SA,3.5,80.76,0.077,0.167,0.5,1.083,0.0,2.827,Poor,SB,0.485,-0.168
Akbar Khan,HKG,5.0,60.6,0.0,0.0,0.0,5.0,0.0,3.03,Poor,SB,0.502,-0.111
MS Graham,Bhm,4.0,52.63,0.026,0.167,0.167,2.667,0.0,2.105,Poor,SB,0.497,-0.125
Z Groenewald,NAM,6.66,57.14,0.0,0.0,0.25,5.0,0.0,3.806,Poor,FL,0.474,-0.077
FJ Mpegna,CAM,5.0,51.28,0.077,0.429,0.429,0.857,0.0,2.564,Poor,SB,0.5,-0.115
Rubel Hossain,BAN,4.0,55.55,0.028,0.067,0.667,1.067,0.0,2.222,Poor,SB,0.493,-0.138
LI Salomone,MOZ,6.66,50.0,0.05,0.5,0.25,3.0,0.0,3.33,Poor,FL,0.476,-0.069
Abubacarr Kuyateh,GAMBI,3.16,51.35,0.081,0.5,0.0,1.167,0.0,1.623,Poor,SB,0.492,-0.147
CJ Dala,SA,19.0,67.85,0.036,0.25,0.75,3.75,0.0,12.891,Poor,LCB,0.5,0.062
Danish Jasnaik,BHR,4.75,73.07,0.038,0.2,0.2,3.0,0.0,3.471,Poor,SB,0.494,-0.139
Mohamed Coulibaly,Mali,3.16,45.23,0.024,0.167,0.0,2.5,0.0,1.429,Poor,SB,0.497,-0.13
B Muzarabani,ZIM,3.8,50.0,0.079,0.214,0.643,0.5,0.0,1.9,Poor,SB,0.493,-0.137
Taher Muhammad,SVN,4.75,57.57,0.03,0.25,0.0,3.75,0.0,2.735,Poor,SB,0.501,-0.116
Y Saranonnakkun,THAI,3.16,52.77,0.056,0.286,0.143,1.571,0.0,1.668,Poor,SB,0.492,-0.147
Andre Jarju,GAMBI,3.6,34.61,0.019,0.167,0.167,2.333,0.0,1.246,Poor,SB,0.506,-0.094
T Brown,Bhm,4.5,31.57,0.0,0.0,0.0,4.5,0.0,1.421,Poor,FL,0.485,-0.037
SS Cottrell,WI,4.5,62.06,0.069,0.2,0.6,1.0,0.0,2.793,Poor,SB,0.493,-0.139
E Haven,Bhm,3.6,25.0,0.0,0.0,0.167,3.0,0.0,0.9,Poor,FL,0.484,-0.041
I Katzarski,BUL,3.0,42.85,0.0,0.0,0.143,2.571,0.0,1.286,Poor,SB,0.497,-0.128
Manoj Adhikari,BHU,18.0,40.9,0.0,0.0,0.75,4.5,0.0,7.362,Poor,F,0.567,0.21
Awais Malik,QAT,2.42,62.96,0.037,0.143,0.0,1.857,0.0,1.524,Poor,SB,0.485,-0.168
D Bishoo,WI,8.5,58.62,0.069,0.5,0.5,2.25,0.0,4.983,Poor,FL,0.479,-0.065
R Davson,Bhm,4.25,53.12,0.0,0.0,0.2,3.4,0.0,2.258,Poor,SB,0.501,-0.118
Khurram Shahzad,QAT,4.25,58.62,0.069,0.4,0.2,1.8,0.0,2.491,Poor,SB,0.495,-0.135
S Kizilkaya,TKY,4.25,60.71,0.107,0.75,0.0,1.25,0.0,2.58,Poor,SB,0.494,-0.139
C Rumistrzewicz,ESP,8.5,60.71,0.0,0.0,0.667,2.833,0.0,5.16,Poor,FL,0.478,-0.067
Saud Munir,DEN,17.0,50.0,0.0,0.0,0.8,3.4,0.0,8.5,Poor,F,0.542,0.117
Thuya Aung,MYAN,4.25,35.41,0.021,0.25,0.0,3.25,0.0,1.505,Poor,FL,0.474,-0.072
Abdullah Sheikh,NOR,5.33,64.0,0.04,0.25,0.25,3.0,0.0,3.411,Poor,SB,0.5,-0.12
IKO Aboagye,Ghana,4.0,43.24,0.0,0.0,0.0,4.0,0.0,1.73,Poor,SB,0.505,-0.098
J Butler,IOM,5.33,57.14,0.0,0.0,0.4,3.2,0.0,3.046,Poor,SB,0.503,-0.108
M Fru,CAM,4.0,51.61,0.032,0.25,0.0,3.0,0.0,2.064,Poor,SB,0.499,-0.122
Jai Sinh,SUI,4.0,61.53,0.038,0.25,0.0,3.0,0.0,2.461,Poor,SB,0.495,-0.137
H Lin Aung,MYAN,4.0,48.48,0.03,0.25,0.0,2.5,0.0,1.939,Poor,SB,0.499,-0.12
AB Mengoumou,CAM,3.2,33.33,0.0,0.0,0.167,2.667,0.0,1.067,Poor,SB,0.504,-0.099
A Nortje,SA,2.66,47.05,0.029,0.091,0.455,1.091,0.0,1.252,Poor,SB,0.489,-0.153
Shamsullah Ehsan,TKY,4.0,42.1,0.0,0.0,0.0,4.0,0.0,1.684,Poor,SB,0.506,-0.095
P Campbell,GAMBI,5.0,46.87,0.031,0.2,0.4,2.2,0.0,2.344,Poor,SB,0.506,-0.099
KR Ebanks,Caym,3.75,55.55,0.037,0.25,0.0,2.75,0.0,2.083,Poor,SB,0.495,-0.135
J Grzinic,CRT,7.5,37.5,0.025,0.25,0.5,2.75,0.0,2.812,Poor,LCB,0.481,-0.004
